y
0
0,038
0,076
0,114
0,152
0,19
0,228
0,266
0,304
0,342
0,38
0,418
0,456
0,494
0,532
0,57
0,608
0,646
0,684
0,722
0,76
0,798
0,836
0,874
0,912
0,95
0,984
1,018
1,052
1,086
1,12
1,154
1,188
1,222
1,256
1,29
1,324
1,358
1,392
1,426
1,46
1,494
1,528
1,562
1,596
1,63
1,664
1,698
1,732
1,766
1,8
1,828
1,855
1,883
1,911
1,939
1,966
1,994
2,022
2,049
2,077
2,105
2,133
2,16
2,188
2,216
2,244
2,271
2,299
2,327
2,354
2,382
2,41
2,438
2,465
2,493
2,53
2,567
2,604
2,641
2,678
2,715
2,752
2,789
2,826
2,863
2,9
2,937
2,973
3,01
3,047
3,084
3,121
3,158
3,195
3,232
3,269
3,306
3,343
3,38
3,417
3,45
3,484
3,517
3,55
3,584
3,617
3,651
3,684
3,717
3,751
3,784
3,817
3,851
3,884
3,917
3,951
3,984
4,017
4,051
4,084
4,118
4,151
4,184
4,218
4,251
4,285
4,319
4,353
4,387
4,421
4,455
4,488
4,522
4,556
4,59
4,624
4,658
4,692
4,726
4,76
4,794
4,828
4,862
4,895
4,929
4,963
4,997
5,031
5,065
5,099
5,13
5,16
5,191
5,222
5,252
5,283
5,313
5,344
5,375
5,405
5,436
5,467
5,497
5,528
5,559
5,589
5,62
5,651
5,681
5,712
5,742
5,773
5,804
5,834
5,865
5,897
5,929
5,962
5,994
6,026
6,058
6,09
6,123
6,155
6,187
6,219
6,251
6,284
6,316
6,348
6,38
6,412
6,445
6,477
6,509
6,541
6,573
6,606
6,638
6,67
6,695
6,72
6,745
6,77
6,795
6,82
6,846
6,871
6,896
6,921
6,946
6,971
6,996
7,021
7,046
7,071
7,096
7,121
7,147
7,172
7,197
7,222
7,247
7,272
7,297
7,334
7,371
7,409
7,446
7,483
7,52
7,558
7,595
7,632
7,669
7,706
7,744
7,781
7,818
7,855
7,893
7,93
7,967
8,004
8,041
8,079
8,116
8,153
8,19
8,228
8,258
8,288
8,318
8,349
8,379
8,409
8,44
8,47
8,5
8,531
8,561
8,591
8,621
8,652
8,682
8,712
8,743
8,773
8,803
8,834
8,864
8,894
8,924
8,955
8,985
9,024
9,063
9,102
9,141
9,18
9,219
9,258
9,297
9,336
9,375
9,414
9,453
9,492
9,531
9,57
9,609
9,648
9,687
9,726
9,765
9,804
9,843
9,882
9,921
9,96
9,995
10,03
10,066
10,101
10,136
10,171
10,207
10,242
10,277
10,312
10,348
10,383
10,418
10,453
10,489
10,524
10,559
10,594
10,63
10,665
10,7
10,735
10,771
10,806
10,841
10,872
10,904
10,935
10,966
10,997
11,029
11,06
11,091
11,123
11,154
11,185
11,216
11,248
11,279
11,31
11,341
11,373
11,404
11,435
11,467
11,498
11,529
11,56
11,592
11,623
11,654
11,686
11,717
11,748
11,78
11,811
11,842
11,874
11,905
11,936
11,968
11,999
12,03
12,061
12,093
12,124
12,155
12,187
12,218
12,249
12,281
12,312
12,343
12,375
12,406
12,44
12,474
12,508
12,542
12,576
12,61
12,645
12,679
12,713
12,747
12,781
12,815
12,849
12,883
12,917
12,951
12,985
13,019
13,054
13,088
13,122
13,156
13,19
13,224
13,258
13,298
13,339
13,379
13,42
13,46
13,5
13,541
13,581
13,622
13,662
13,702
13,743
13,783
13,824
13,864
13,904
13,945
13,985
14,026
14,066
14,106
14,147
14,187
14,228
14,268
14,308
14,348
14,388
14,428
14,468
14,508
14,547
14,587
14,627
14,667
14,707
14,747
14,787
14,827
14,867
14,907
14,947
14,987
15,026
15,066
15,106
15,146
15,186
15,226
15,266
15,302
15,337
15,373
15,408
15,444
15,48
15,515
15,551
15,586
15,622
15,658
15,693
15,729
15,764
15,8
15,836
15,871
15,907
15,942
15,978
16,014
16,049
16,085
16,12
16,156
16,185
16,214
16,243
16,273
16,302
16,331
16,36
16,389
16,418
16,447
16,477
16,506
16,535
16,564
16,593
16,622
16,651
16,681
16,71
16,739
16,768
16,797
16,826
16,855
16,885
16,911
16,937
16,964
16,99
17,016
17,043
17,069
17,095
17,122
17,148
17,174
17,201
17,227
17,253
17,28
17,306
17,332
17,359
17,385
17,411
17,438
17,464
17,49
17,517
17,543
17,569
17,595
17,621
17,647
17,673
17,699
17,725
17,751
17,778
17,804
17,83
17,856
17,882
17,908
17,934
17,96
17,986
18,012
18,038
18,064
18,09
18,116
18,142
18,168
18,195
18,225
18,255
18,286
18,316
18,346
18,377
18,407
18,438
18,468
18,498
18,529
18,559
18,589
18,62
18,65
18,681
18,711
18,741
18,772
18,802
18,832
18,863
18,893
18,924
18,954
18,994
19,033
19,073
19,113
19,152
19,192
19,232
19,271
19,311
19,351
19,39
19,43
19,47
19,51
19,549
19,589
19,629
19,668
19,708
19,748
19,787
19,827
19,867
19,906
19,946
